Column Name,Description,Unit,Type,Note
SOCWB310018,US Census Population: Under 18 Years (1-Year Estimate),,DOUBLE,
SOCWB310019,US Census Population: Under 18 Years (5-Year Estimate),,DOUBLE,
SOCWB320013,US Census Ethnicity: Hispanic or Latino,People,DOUBLE,
SOCWB320016,US Census Race: Asian,People,DOUBLE,
SOCWB320017,US Census Race: American Indian,People,DOUBLE,
SOCWB320018,US Census Race: Black,People,DOUBLE,
SOCWB320019,US Census Race: White,People,DOUBLE,
SOCWB330004,US Census Population: 25 years and older with batchelor's degree or higher (1-Year Estimate),,DOUBLE,
SOCWB330005,US Census Population: 25 years and older with batchelor's degree or higher (5-Year Estimate),,DOUBLE,
SOCWB330006,US Census Population: 25 years and older with GED or higher (1-Year Estimate),,DOUBLE,
SOCWB330007,US Census Population: 25 years and older with GED or higher (5-Year Estimate),,DOUBLE,
SOCWB330008,US Census Population: No High School Diploma/GED (1-Year Estimate),,DOUBLE,
SOCWB330009,US Census Population: No High School Diploma/GED (5-Year Estimate),,DOUBLE,
SOCWB330010,US Census Population: Individuals in Poverty (1-Year Estimate),,DOUBLE,
SOCWB330011,US Census Population: Individuals in Poverty (5-Year Estimate),,DOUBLE,
SOCWB330012,US Census Population: Under 18 in Poverty (1-Year Estimate),,DOUBLE,
SOCWB330013,US Census Population: Under 18 in Poverty (5-Year Estimate),,DOUBLE,
SOCWB330014,US Census School Enrollment: Grades K-12 (1-Year Estimate),,DOUBLE,
SOCWB330015,US Census School Enrollment: Grades K-12 (5-Year Estimate),,DOUBLE,
SOCWB330016,US Census School Enrollment: Public School Grades K-12 (1-Year Estimate),,DOUBLE,
SOCWB330017,US Census School Enrollment: Public School Grades K-12 (5-Year Estimate),,DOUBLE,
SOCWB350001,"Number of nursing home and assisted living facility beds per 10,000 people over 85 years old",,DOUBLE,
SOCWB350002,% of population within 60 minutes of Level 1 Trauma center by air or ground transportation,,DOUBLE,
SOCWB350003,% of population within 60 minutes of Level 3 Trauma center by air or ground transportation,,DOUBLE,
SOCWB350006,US Census Population: No Health Insurance (1-Year Estimate),,DOUBLE,
SOCWB350007,US Census Population: No Health Insurance (5-Year Estimate),,DOUBLE,
