UID,fips,period,INFRA120001,INFRA120002,INFRA120003,INFRA120004,INFRA150001,INFRA150002,INFRA150003,INFRA150004,INFRA150005,INFRA150006,INFRA150007,INFRA150008,INFRA150009,INFRA150010,INFRA150011,INFRA150012,INFRA150013,INFRA150014,INFRA150015,INFRA150016,INFRA150017,INFRA150018,INFRA140003,INFRA140004,SOCWB350001,SOCWB350002,SOCWB350003,BLTENV220001,BLTENV220002,BLTENV220003,BLTENV220004,INFRA110007,BLTENV220005,BLTENV220006,BLTENV220007,INFRA120005,INFRA120006,INFRA120007,INFRA120008,BLTENV220008,BLTENV220009,BLTENV220010,BLTENV220011,INFRA140007,ECNVIT510001,INFRA130002,SOCWB320013,SOCWB310003,SOCWB310004,ECNVIT530001,ECNVIT530002,SOCWB310005,SOCWB310006,ECNVIT530003,ECNVIT530004,BLTENV220017,BLTENV220018,ECNVIT530005,ECNVIT530006,SOCWB310007,SOCWB310008,SOCWB310009,SOCWB310010,BLTENV220022,BLTENV220023,SOCWB310011,SOCWB310012,BLTENV220029,BLTENV220030,ECNVIT530007,ECNVIT530008,SOCWB310015,SOCWB310017,SOCWB330004,SOCWB330005,SOCWB330006,SOCWB330007,SOCWB330008,SOCWB330009,SOCWB350006,SOCWB350007,SOCWB330010,SOCWB330011,SOCWB330012,SOCWB330013,SOCWB310018,SOCWB310019,ECNVIT510002,ECNVIT510003,SOCWB320016,SOCWB320017,SOCWB320018,SOCWB320019,SOCWB330014,SOCWB330015,SOCWB330016,SOCWB330017,NATENV410002,NATENV410003,NATENV410004,NATENV410005
1,01000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4452173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,01000,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4467634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,01000,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4480089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,01000,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4503491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01000,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4530729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,01000,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4569805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,01000,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4628981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,01000,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4672840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,01000,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4718206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,01000,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4757938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,01000,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4785298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,01000,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,01000,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,01000,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,01000,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,01000,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,01000,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,01001,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,612,,,,,,,,,,,,,,,,,,,,,,,,,44021,4531,,,,,,,,,,,,,,,,,209,198,7552,35694,,,,,,,,
19,01001,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,680,,,,,,,,,,,,,,,,,,,,,,,,,44889,4667,,,,,,,,,,,,,,,,,250,219,7674,36342,,,,,20.4,1.58,54.74,5.62
20,01001,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,740,,,,,,,,,,,,,,,,,,,,,,,,,45909,4817,,,,,,,,,,,,,,,,,278,220,7902,37069,,,,,,,,
21,01001,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,792,,,,,,,,,,,,,,,,,,,,,,,,,46800,4994,,,,,,,,,,,,,,,,,294,225,8089,37716,,,,,,,,
22,01001,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,869,,,,,,,,,,,,,,,,,,,,,,,,,48366,5190,,,,,,,,,,,,,,,,,326,226,8393,38893,,,,,,,,
23,01001,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,987,,,,,,,,,,,,,,,,,,,,,,,,,49676,5373,,,,,,,,,,,,,,,,,360,226,8629,39862,,,,,,,,
24,01001,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1043,,,,,,,,,,,,,,,,,,,,,,,,,51328,5670,,,,,,,,,,,,,,,,,374,230,9043,41031,,,,,18.65,1.79,54.44,5.69
25,01001,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1163,,,,,,,,,,,,,,,,,,,,,,,,,52405,5851,,,,,,,,,,,,,,,,,404,233,9290,41784,,,,,,,,
26,01001,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1175,,,,,,,,,,,,,,,,,,,,,,,,,53277,6056,,,,,,,,,,,,,,,,,428,252,9490,42359,,,,,,,,
27,01001,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1267,,,,,,,,,,,,,,,,,,,,,,,,,54135,6342,,,,,,,,,,,,,,,,,460,253,9694,42934,,,,,,,,
28,01001,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.37993497,35.16117046,,45.84136322,39.18754438,,14.51465666,,21.43985137,70.99396191,1.249419415,25.10968655,9,,1343,,6084,,301,,1067,,2232,,566,,53255,,338,,1177,,4616,,769,,1812,,24568,54632,6584,,7352.82,,28903.05,,6006.28,,,,,,,,14725,,1611,490,280,9743,43320,,11384,,10131.76,,,,
29,01001,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.70698568,38.65501624,,48.38983898,36.25862586,0,14.72647265,,20.60021044,71.12859692,1.175717096,25.34950312,8,,1335,,,,,,,,,,,,,,,,,,,,,,,,,55255,6894,,,,,,,,,,,,,,,,,512,258,9884,43718,,,,,18.24,1.8,53.11,5.61
30,01001,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1838565,39.71916474,,50.56687067,35.19614729,0,13.78549212,,20.87693074,70.15445939,1.150518639,25.59822252,7,,1327,,,,,,,,,,,,,,,,,,,,,,,,,55027,7245,,,,,,,,,,,,,,,,,550,274,9985,43338,,,,,,,,
31,01001,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.49684968,40.38433843,,49.62383538,35.94738678,0,13.89068806,,21.21962196,69.38793879,1.053105311,26.20038927,6,,1370,,,,,,,,,,,,,,,,,,,,,,,,,54792,7460,,,,,,,,,,,,,,,,,559,273,9991,42985,,,,,,,,
32,01001,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.19526548,42.33426954,,49.48286052,35.41174153,0,14.37647754,,19.62016852,67.97735277,1.93928046,26.74503242,6,,1428,,,,,,,,,,,,,,,,,,,,,,,,,54977,7658,,,,,,,,,,,,,,,,,563,275,10116,43008,,,,,,,,
33,01001,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.18776016,42.23009477,,51.8827221,33.97725044,0,13.66444401,,18.62988221,66.76556549,1.439199362,26.48891235,5,,1468,,6770,,488,,910,,2709,,468,,51281,,354,,1180,,4207,,883,,2186,,24974,55035,7920,,8426,,31670.16,,5584,,5508,,7057,,2597,,14044,,1984,578,268,10422,42774,,11073,,9262,,,,
34,01001,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.07801356,43.69992075,,51.04807692,36.57211538,0,11.78365385,,18.02852866,66.99832702,1.113850489,26.10405985,5,,1490,,,,,,,,,,,,,,,,,,,,,,,,,55416,8162,,,,,,,,,,,,,,,,,632,269,10685,42769,,,,,,,,
35,01001,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.94974827,24.34519696,45.01641327,,51.94737342,35.6891802,0,11.94072385,,19.06530753,66.64651002,1.218037319,25.76820941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,01002,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,01002,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,01002,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,01002,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,01002,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,01002,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,01002,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,01003,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2495,,,,,,,,,,,,,,,,,,,,,,,,,141342,21883,,,,,,,,,,,,,,,,,548,823,14614,124129,,,,,,,,
44,01003,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2903,,,,,,,,,,,,,,,,,,,,,,,,,144875,22585,,,,,,,,,,,,,,,,,609,885,14875,127195,,,,,16.62,2.15,37.06,27.48
45,01003,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3248,,,,,,,,,,,,,,,,,,,,,,,,,147957,23300,,,,,,,,,,,,,,,,,673,925,15036,129894,,,,,,,,
46,01003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3649,,,,,,,,,,,,,,,,,,,,,,,,,151509,24113,,,,,,,,,,,,,,,,,715,981,15235,133026,,,,,,,,
47,01003,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,4110,,,,,,,,,,,,,,,,,,,,,,,,,156266,24949,,,,,,,,,,,,,,,,,934,1015,15488,137136,,,,,,,,
48,01003,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4735,23614,,1354,,2664,,6876,,5118,,42119,,285,,1073,,11364,,662,,23820,,23661,,162183,25905,29311.6,,61047.47,,17419.31,,,,20884,,8670,,,,4134,,980,1049,15844,142449,28197,,25445.87,,,,,
49,01003,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5468,25664,,1683,,2978,,7566,,8333,,44878,,313,,1089,,17032,,771,,25922,,24323,,168121,26849,30115.56,,101202.3,,18750.62,,,,18069,,5130,,37838,,3549,,1030,1136,16172,147742,26976,,21886.24,,15.85,2.53,32.04,27.27
50,01003,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6124,24979,,2226,,3161,,7207,,4466,,49119,,322,,1252,,15538,,782,,32457,,27498,,172404,27650,31070.16,,103920.27,,16108.73,,,,17391,,5598,,40282,,2685,,1121,1170,16476,151501,29864,,26133.11,,,,,
51,01003,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,6853,27581,,1863,,1805,,5799,,1112,,52320,,347,,1345,,14722,,790,,34878,,25732,,175827,28757,35636.29,,106184.07,,17958.78,,,,15727,,5130,,40702,,3717,,1222,1220,16688,154332,30018,,27706.61,,,,,
52,01003,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,7516,28203,,1933,,2229,,9412,,1844,,48487,,362,,1347,,13730,,803,,31299,,25890,,179406,29773,33081.01,,111351.92,,15742.42,,,,24549,,8992,,41442,,7430,,1328,1320,16988,157294,29423,,26304.16,,,,,
53,01003,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.25436974,23.04610606,,81.43675514,13.61621279,,4.689389142,,14.30761774,52.73263233,7.070717063,25.79015371,10,,8078,27345,27164,2689,2432,2228,2305,8072,7658,1721,3486,47502,50147,385,359,1405,1325,12741,14464,832,821,36153,31617,25583,26469,183195,30792,34807.56,32578.08,112228.81,106486.56,18671.67,17857.41,32148,,23610,,8091,,42139,40974,9031,5513,1392,1338,17406,160458,31894,29759,28927.85,26217.67,,,,
54,01003,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.91034978,27.27980734,,82.40032788,12.92734288,0,4.464575943,,13.01151702,52.37914894,7.066557906,25.47038671,9,,8227,29074,,2049,,2715,,8820,,2363,,50900,,380,,1353,,9271,,878,,30244,,27553,,186653,31885,37133.56,,118617.45,,14249.66,,22224,,24221,,8355,,42278,,8362,,1433,1376,17570,163533,32302,,28005.83,,15.43,2.81,31.64,27.22
55,01003,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6511194,28.66027466,,82.86484035,12.48230265,0,4.49753268,,12.57885829,51.82431913,5.79416064,25.71061143,8,,8333,31107,,1861,,2577,,10395,,2302,,48378,,361,,1276,,11742,,888,,27289,,25572,,190403,33843,38829,,119022.23,,16325.52,,23165,,26448,,8574,,42515,,8120,,1589,1418,17960,166484,31315,,27870.35,,,,,
56,01003,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.54896415,30.27176821,,83.66469713,11.84449327,0,4.271113355,,11.88460362,50.86098158,6.767448972,25.92805681,7,,8493,30686,,2727,,1705,,9796,,1265,,44874,,347,,1225,,11625,,809,,35527,,25389,,195147,35448,39154.64,,122324.49,,16843.56,,31676,,28028,,8705,,44305,,6822,,1723,1464,18348,170518,32666,,29791.39,,,,,
57,01003,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.96531929,32.08463193,,84.89693121,11.01316762,66.87198299,3.859946892,,11.55707966,49.45198602,8.950105624,26.41541618,6,,8633,33442,,2842,,1886,,8713,,2724,,48461,,360,,1337,,12808,,857,,36077,,26721,,199745,37405,42879.34,,125123.32,,19771.06,,29159,,25019,,7705,,44622,,6760,,1837,1515,18805,174273,34011,,30847.97,,,,,
58,01003,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.49209204,34.21473004,34.11230761,,85.39754939,10.67553708,123.2355878,3.604393825,,11.62823476,49.79891376,9.952829302,26.43205558,6,19,8887,34693,32220,4024,2855,1893,2212,7710,9179,5587,2794,52003,50254,345,365,1277,1316,13860,12375,914,879,36311,32318,28497,27317,203690,39070,42402.71,39730.29,130514.1,122615.89,15679,16918,16351,24987,25658,25798,7995,8282,44890,43641,4710,6972,2039,1541,18926,177700,34054,32680,29706,28746,,,,
59,01003,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.58762162,30.96292027,35.24870095,,86.08497784,10.03073893,354.9939454,3.298779758,,11.92518986,50.10736296,11.06442707,27.23232594,5,,9211,,,3552,,,,9630,,,,,,,,,,,,952,,,,29977,,208563,41104,,,,,,,16854,,,,7099,,45955,,3360,,2242,1608,19184,181835,34664,,28114,,,,,
60,01003,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.34446298,28.98303082,36.53726948,,86.74425019,9.545138114,93.2237736,3.072255132,,11.16584714,50.41673105,13.65169101,27.01813553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,01004,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,01004,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,01004,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,01004,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,01004,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,01005,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,478,,,,,,,,,,,,,,,,,,,,,,,,,29015,3869,,,,,,,,,,,,,,,,,87,131,13479,15132,,,,,,,,
67,01005,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,592,,,,,,,,,,,,,,,,,,,,,,,,,28863,3824,,,,,,,,,,,,,,,,,89,131,13387,15066,,,,,14.04,0.99,60.21,5.34
68,01005,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,691,,,,,,,,,,,,,,,,,,,,,,,,,28653,3760,,,,,,,,,,,,,,,,,95,138,13434,14794,,,,,,,,
69,01005,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,778,,,,,,,,,,,,,,,,,,,,,,,,,28594,3702,,,,,,,,,,,,,,,,,102,139,13429,14720,,,,,,,,
70,01005,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,865,,,,,,,,,,,,,,,,,,,,,,,,,28287,3725,,,,,,,,,,,,,,,,,101,149,13326,14505,,,,,,,,
71,01005,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,995,,,,,,,,,,,,,,,,,,,,,,,,,28027,3692,,,,,,,,,,,,,,,,,102,138,13196,14384,,,,,,,,
72,01005,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1137,,,,,,,,,,,,,,,,,,,,,,,,,27861,3683,,,,,,,,,,,,,,,,,100,146,13103,14290,,,,,12.57,1.01,60.73,5.2
73,01005,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1245,,,,,,,,,,,,,,,,,,,,,,,,,27757,3755,,,,,,,,,,,,,,,,,102,151,13057,14211,,,,,,,,
74,01005,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1344,,,,,,,,,,,,,,,,,,,,,,,,,27808,3820,,,,,,,,,,,,,,,,,109,152,13069,14241,,,,,,,,
75,01005,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1358,,,,,,,,,,,,,,,,,,,,,,,,,27657,3870,,,,,,,,,,,,,,,,,113,166,13024,14110,,,,,,,,
76,01005,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.31329615,46.98359837,,72.35324145,9.239407861,,18.19295559,,29.98917659,55.4908001,1.323786529,23.8162339,12,,1359,,3626,,68,,1064,,2477,,480,,33219,,339,,900,,3602,,512,,2216,,15875,27411,3915,,2548.66,,13574,,6160.44,,,,,,,,6230,,1051,116,152,12906,13932,,4698,,4138.93,,,,
77,01005,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.21633202,56.6966311,,73.17759933,9.354468662,0,17.14464491,,27.13601613,53.5243216,1.302192725,23.35646893,12,,1302,,,,,,,,,,,,,,,,,,,,,,,,,27326,3988,,,,,,,,,,,,,,,,,131,153,12908,13874,,,,,12.26,0.93,59.86,5.14
78,01005,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.39973059,58.72116518,,74.03162475,9.285790088,0,16.02462061,,25.82926419,52.91294831,1.178649604,24.58304969,12,,1234,,,,,,,,,,,,,,,,,,,,,,,,,27132,4141,,,,,,,,,,,,,,,,,123,147,12888,13700,,,,,,,,
79,01005,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.73197625,59.12977099,,77.72826087,7.72826087,0,13.73913043,,26.71755725,52.81594572,1.925360475,24.58045465,10,,1173,,,,,,,,,,,,,,,,,,,,,,,,,26938,4295,,,,,,,,,,,,,,,,,127,146,12918,13468,,,,,,,,
80,01005,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.43446294,58.85658751,,77.7036632,7.009294697,0,14.609076,,26.83174174,52.23527423,2.59443928,24.4218715,11,,1138,,,,,,,,,,,,,,,,,,,,,,,,,26763,4431,,,,,,,,,,,,,,,,,117,157,12809,13393,,,,,,,,
81,01005,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96528366,60.84165961,,77.82476686,6.723053568,0,14.62806333,,28.03556308,49.65283658,2.743437765,24.07972146,9,,1095,,3965,,62,,861,,2188,,236,,32964,,334,,916,,3311,,579,,2588,,16824,26270,4546,,2351,,13786.26,,5621,,3732,,6421,,2583,,5738,,1842,118,155,12584,13103,,4318,,3867,,,,
82,01005,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.766141332,62.26063379,,79.43433458,6.193817145,0,13.4619601,,29.94407728,49.38993391,3.211320115,23.74192804,9,,1094,,,,,,,,,,,,,,,,,,,,,,,,,25965,4678,,,,,,,,,,,,,,,,,117,164,12435,12929,,,,,,,,
83,01005,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.64432597,8.93270683,64.82463501,,78.83799369,6.354041998,0,14.00282885,,30.87766404,48.20439671,3.112938412,23.37476657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,01006,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,01006,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,01006,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,01006,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,01006,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,01007,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,206,,,,,,,,,,,,,,,,,,,,,,,,,19913,2403,,,,,,,,,,,,,,,,,17,50,4015,15735,,,,,,,,
90,01007,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,244,,,,,,,,,,,,,,,,,,,,,,,,,21028,2605,,,,,,,,,,,,,,,,,17,51,4573,16292,,,,,6.36,0.54,78.4,4.32
91,01007,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,260,,,,,,,,,,,,,,,,,,,,,,,,,21199,2574,,,,,,,,,,,,,,,,,16,54,4671,16351,,,,,,,,
92,01007,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,294,,,,,,,,,,,,,,,,,,,,,,,,,21399,2581,,,,,,,,,,,,,,,,,16,57,4692,16517,,,,,,,,
93,01007,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,319,,,,,,,,,,,,,,,,,,,,,,,,,21721,2590,,,,,,,,,,,,,,,,,16,61,4786,16729,,,,,,,,
94,01007,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,327,,,,,,,,,,,,,,,,,,,,,,,,,22042,2645,,,,,,,,,,,,,,,,,22,56,4858,16941,,,,,,,,
